Time,Bucket,Size (GB)
2025-09-29 15:22:08.555325,test03,0.244140625
2025-09-29 15:22:08.555325,test04,0.048828125
2025-09-29 15:22:08.555325,test05,0.146484375
2025-09-29 15:22:08.555325,test06,0.0
2025-09-29 15:22:08.555325,test07,0.0
2025-09-29 15:22:14.062677,test01,0.244140625
2025-09-29 15:22:14.062677,test02,0.244140625
2025-09-29 15:22:14.062677,test03,0.244140625
2025-09-29 15:22:14.062677,test04,0.048828125
2025-09-29 15:22:14.062677,test05,0.146484375
2025-09-29 15:22:14.062677,test06,0.0
2025-09-29 15:22:14.062677,test07,0.0
2025-09-29 15:22:23.865193,test01,0.244140625
2025-09-29 15:22:23.865193,test02,0.244140625
2025-09-29 15:22:23.865193,test03,0.244140625
2025-09-29 15:22:23.865193,test04,0.048828125
2025-09-29 15:22:23.865193,test05,0.146484375
2025-09-29 15:22:23.865193,test06,0.0
2025-09-29 15:22:23.865193,test07,0.0
2025-09-29 15:22:53.859507,test01,0.244140625
2025-09-29 15:22:53.859507,test02,0.244140625
2025-09-29 15:22:53.859507,test03,0.244140625
2025-09-29 15:22:53.859507,test04,0.048828125
2025-09-29 15:22:53.859507,test05,0.146484375
2025-09-29 15:22:53.859507,test06,0.0
2025-09-29 15:22:53.859507,test07,0.0
2025-09-29 15:23:06.090288,test01,0.244140625
2025-09-29 15:23:06.090288,test02,0.244140625
2025-09-29 15:23:06.090288,test03,0.244140625
2025-09-29 15:23:06.090288,test04,0.048828125
2025-09-29 15:23:06.090288,test05,0.146484375
2025-09-29 15:23:06.090288,test06,0.0
2025-09-29 15:23:06.090288,test07,0.0
2025-09-29 15:23:13.088506,test01,0.244140625
2025-09-29 15:23:13.088506,test02,0.244140625
2025-09-29 15:23:13.088506,test03,0.244140625
2025-09-29 15:23:13.088506,test04,0.048828125
2025-09-29 15:23:13.088506,test05,0.146484375
2025-09-29 15:23:13.088506,test06,0.0
2025-09-29 15:23:13.088506,test07,0.0
2025-09-29 15:23:23.859657,test01,0.244140625
2025-09-29 15:23:23.859657,test02,0.244140625
2025-09-29 15:23:23.859657,test03,0.244140625
2025-09-29 15:23:23.859657,test04,0.048828125
2025-09-29 15:23:23.859657,test05,0.146484375
2025-09-29 15:23:23.859657,test06,0.0
2025-09-29 15:23:23.859657,test07,0.0
2025-09-29 15:23:38.245965,test01,0.244140625
2025-09-29 15:23:38.245965,test02,0.244140625
2025-09-29 15:23:38.245965,test03,0.244140625
2025-09-29 15:23:38.245965,test04,0.048828125
2025-09-29 15:23:38.245965,test05,0.146484375
2025-09-29 15:23:38.245965,test06,0.0
2025-09-29 15:23:38.245965,test07,0.0
2025-09-29 15:23:54.151051,test01,0.244140625
2025-09-29 15:23:54.151051,test02,0.244140625
2025-09-29 15:23:54.151051,test03,0.244140625
2025-09-29 15:23:54.151051,test04,0.048828125
2025-09-29 15:23:54.151051,test05,0.146484375
2025-09-29 15:23:54.151051,test06,0.0
2025-09-29 15:23:54.151051,test07,0.0
2025-09-29 15:24:24.190731,test01,0.244140625
2025-09-29 15:24:24.190731,test02,0.244140625
2025-09-29 15:24:24.190731,test03,0.244140625
2025-09-29 15:24:24.190731,test04,0.048828125
2025-09-29 15:24:24.190731,test05,0.146484375
2025-09-29 15:24:24.190731,test06,0.0
2025-09-29 15:24:24.190731,test07,0.0
